P2P_Vel,Avg_Vel,Var_Vel,P2P_Ax,Var_Ax,P2P_Ay,Var_Ay,Var_LO,P2P_LO,Var_HA,P2P_HA,P2P_Pedal,Avg_Pedal,Var_Pedal,Var_Str,P2P_Str,Var_DStr,P2P_DStr,Avg_FrontDist,HandPress,Avg_HR,Class
0.016435347,0.531887305,0.000173887,0.0013172,1.02E-06,0.036759881,0.002329921,0.007775589,0.100564778,0.005321339,0.057365472,0,0.244445689,0,0.004091826,0.053221707,9.08E-05,0.010230179,0.984441147,0.925686591,0.273865415,0
0.01630992,0.532026613,0.000171836,0.001309896,9.66E-07,0.036759881,0.002315009,0.008042263,0.106371926,0.005520195,0.057365472,0,0.244445689,0,0.004097614,0.053221707,9.08E-05,0.010230179,0.984441147,0.922455574,0.273865415,0
0.016180771,0.532164829,0.000169924,0.001299378,9.15E-07,0.036759881,0.002308914,0.008455656,0.117088542,0.005668165,0.057365472,0,0.244445689,0,0.004073052,0.053221707,0.000151236,0.012787724,0.984441147,0.919224556,0.273865415,0
0.016053727,0.532301939,0.000168148,0.001239968,8.64E-07,0.036759881,0.002306574,0.009019588,0.127202169,0.005771967,0.057365472,0,0.244445689,0,0.004061489,0.053221707,0.000153189,0.012787724,0.984441147,0.917609047,0.273865415,0
0.015940264,0.532437985,0.000166502,0.001137858,8.23E-07,0.036759881,0.002306442,0.009734293,0.136687921,0.005846023,0.057365472,0,0.244445689,0,0.004019172,0.053221707,0.00014648,0.012787724,0.984441147,0.915993538,0.273865415,0
0.015837663,0.532573089,0.000164961,0.001111059,8.03E-07,0.036759881,0.002297862,0.010596275,0.145511073,0.005905617,0.057365472,0,0.244445689,0,0.00387226,0.052623711,0.00014648,0.012787724,0.984441147,0.914378029,0.273865415,0
0.015749076,0.532707335,0.000163505,0.001082361,7.89E-07,0.036759881,0.002278312,0.011598056,0.153630566,0.005960764,0.057365472,0,0.244445689,0,0.003729669,0.052623711,0.00014648,0.012787724,0.984441147,0.91276252,0.273865415,0
0.015673743,0.532840829,0.000162104,0.00105551,7.80E-07,0.036759881,0.002242747,0.012729778,0.161065888,0.006014411,0.057365472,0,0.244445689,0,0.003572427,0.052623711,0.00014648,0.012787724,0.984441147,0.911147011,0.273865415,0
0.015511137,0.532972862,0.000160503,0.002167131,1.16E-06,0.036759881,0.002189685,0.013981726,0.167893651,0.006064556,0.057365472,0.001975,0.244371958,4.19E-07,0.003415648,0.052623711,0.00014648,0.012787724,0.984441147,0.909531502,0.273865415,0
0.015172295,0.533099971,0.000157778,0.007870917,9.41E-06,0.036759881,0.002127048,0.015348868,0.174317392,0.006109763,0.057365472,0.0119,0.243927706,1.55E-05,0.003311843,0.052623711,0.00014648,0.012787724,0.984441147,0.907915994,0.273865415,0
0.014839708,0.533215997,0.000152705,0.016900313,4.98E-05,0.036759881,0.002051342,0.016832193,0.180545399,0.006150208,0.057365472,0.027775,0.242890808,9.67E-05,0.003195975,0.052623711,0.000148094,0.012787724,0.984441147,0.906300485,0.273865415,0
0.014510707,0.533317083,0.000145281,0.019086894,0.000100061,0.036759881,0.001972934,0.01843755,0.18672185,0.006186044,0.057365472,0.03175,0.241705515,0.000199253,0.00309108,0.055763193,0.000159303,0.012787724,0.984441147,0.904684976,0.273865415,0
0.01418353,0.533403208,0.000136493,0.019084027,0.000147951,0.036759881,0.001905749,0.020178781,0.193094156,0.006220717,0.057365472,0.03175,0.240520222,0.000297349,0.003033257,0.061593661,0.000159303,0.012787724,0.984441147,0.903069467,0.273865415,0
0.01385724,0.533474372,0.000127282,0.019084027,0.000193109,0.038755217,0.001842817,0.022077551,0.199897902,0.006260065,0.057365472,0.03175,0.239334929,0.000391025,0.002991589,0.06189266,0.000159303,0.012787724,0.984441147,0.901453958,0.273865415,0
0.013531516,0.533530555,0.000118542,0.019084027,0.00023562,0.041113444,0.00178811,0.024161152,0.207300136,0.006308042,0.057365472,0.03175,0.238149636,0.000480279,0.003026039,0.062490656,0.000159303,0.012787724,0.984441147,0.899838449,0.273865415,0
0.01319884,0.533571746,0.000111107,0.019084027,0.000275509,0.04136897,0.001740431,0.02646201,0.215459909,0.00636513,0.057365472,0.03175,0.236964343,0.000565113,0.003086299,0.062939154,0.000158029,0.012787724,0.984441147,0.89822294,0.273865415,0
